KRCH,IRCH,JRCH,ISEG,IREACH,RCHLEN,STRTOP,SLOPE,STRTHICK,STRHC1,THTS,THTI,EPS,UHC
1,45,27,26,5,307,,0.107160619,1,3,0.35,0.3,3.5,0.3
1,45,44,39,11,259,,0.146649136,1,3,0.35,0.3,3.5,0.3
1,44,53,19,1,241,,0.033169242,1,3,0.35,0.3,3.5,0.3
1,44,27,26,4,245,,0.207449423,1,3,0.35,0.3,3.5,0.3
1,44,44,39,10,331,,0.054227703,1,3,0.35,0.3,3.5,0.3
1,43,18,25,18,308,,0.032382728,1,3,0.35,0.3,3.5,0.3
1,43,27,26,3,307,,0.256536027,1,3,0.35,0.3,3.5,0.3
1,43,41,8,16,259,,0.023155127,1,3,0.35,0.3,3.5,0.3
1,41,18,25,16,282,,0.216121268,1,3,0.35,0.3,3.5,0.3
1,42,18,25,17,283,,0.120096109,1,3,0.35,0.3,3.5,0.3
1,41,27,26,1,2,,0.0001,1,3,0.35,0.3,3.5,0.3
1,42,27,26,2,269,,0.285367222,1,3,0.35,0.3,3.5,0.3
1,42,45,39,7,320,,0.08427752,1,3,0.35,0.3,3.5,0.3
1,41,55,44,1,33,,0.326313896,1,3,0.35,0.3,3.5,0.3
1,42,55,44,2,319,,0.037557218,1,3,0.35,0.3,3.5,0.3
1,40,40,8,10,272,,0.069605714,1,3,0.35,0.3,3.5,0.3
1,39,19,25,13,314,,0.05091361,1,3,0.35,0.3,3.5,0.3
1,39,39,8,8,307,,0.061698538,1,3,0.35,0.3,3.5,0.3
1,37,20,25,10,295,,0.12519974,1,3,0.35,0.3,3.5,0.3
1,36,20,25,9,296,,0.192317154,1,3,0.35,0.3,3.5,0.3
1,35,36,8,1,236,,0.055040701,1,3,0.35,0.3,3.5,0.3
1,35,35,27,30,75,,0.0395091,1,3,0.35,0.3,3.5,0.3
1,33,23,25,1,223,,0.031282445,1,3,0.35,0.3,3.5,0.3
1,34,35,27,29,283,,0.049301983,1,3,0.35,0.3,3.5,0.3
1,33,35,27,28,270,,0.114524088,1,3,0.35,0.3,3.5,0.3
1,32,35,27,27,294,,0.030542628,1,3,0.35,0.3,3.5,0.3
1,30,36,27,22,283,,0.0001,1,3,0.35,0.3,3.5,0.3
1,29,36,27,21,294,,0.044117129,1,3,0.35,0.3,3.5,0.3
1,28,36,27,20,283,,0.024650991,1,3,0.35,0.3,3.5,0.3
1,27,50,14,6,307,,0.107160619,1,3,0.35,0.3,3.5,0.3
1,26,35,27,17,296,,0.043861807,1,3,0.35,0.3,3.5,0.3
1,26,50,14,5,283,,0.098603965,1,3,0.35,0.3,3.5,0.3
1,24,35,27,15,231,,0.004321139,1,3,0.35,0.3,3.5,0.3
1,25,35,27,16,294,,0.122170512,1,3,0.35,0.3,3.5,0.3
1,25,50,14,4,295,,0.043989098,1,3,0.35,0.3,3.5,0.3
1,24,50,14,3,350,,0.0001,1,3,0.35,0.3,3.5,0.3
1,23,51,13,3,168,,0.005946047,1,3,0.35,0.3,3.5,0.3
1,23,36,27,13,307,,0.058451247,1,3,0.35,0.3,3.5,0.3
1,22,51,7,1,32,,0.365272041,1,3,0.35,0.3,3.5,0.3
1,23,51,7,2,188,,0.323104171,1,3,0.35,0.3,3.5,0.3
1,20,39,27,7,295,,0.023686437,1,3,0.35,0.3,3.5,0.3
1,17,42,27,1,149,,0.013344919,1,3,0.35,0.3,3.5,0.3
1,17,42,23,3,218,,0.009146355,1,3,0.35,0.3,3.5,0.3
1,15,42,23,1,33,,0.0001,1,3,0.35,0.3,3.5,0.3
1,16,42,23,2,350,,0.034220821,1,3,0.35,0.3,3.5,0.3
1,15,42,10,7,317,,0.088219364,1,3,0.35,0.3,3.5,0.3
1,14,48,15,1,179,,0.0001,1,3,0.35,0.3,3.5,0.3
1,13,49,3,1,45,,0.044176044,1,3,0.35,0.3,3.5,0.3
1,13,41,10,4,270,,0.192104921,1,3,0.35,0.3,3.5,0.3
1,12,46,6,1,242,,0.181760441,1,3,0.35,0.3,3.5,0.3
1,13,46,6,2,320,,0.012485559,1,3,0.35,0.3,3.5,0.3
1,11,40,10,1,120,,0.199978341,1,3,0.35,0.3,3.5,0.3
1,10,40,9,1,2,,0.0001,1,3,0.35,0.3,3.5,0.3
1,11,40,9,2,163,,0.158583733,1,3,0.35,0.3,3.5,0.3
1,61,5,32,6,122,,0.0001,1,3,0.35,0.3,3.5,0.3
1,61,6,32,5,257,,0.031078927,1,3,0.35,0.3,3.5,0.3
1,61,7,32,4,255,,0.058775909,1,3,0.35,0.3,3.5,0.3
1,61,8,32,3,280,,0.017798499,1,3,0.35,0.3,3.5,0.3
1,61,10,32,1,37,,0.0001,1,3,0.35,0.3,3.5,0.3
1,61,9,32,2,265,,0.037613493,1,3,0.35,0.3,3.5,0.3
1,57,9,38,1,66,,0.225597207,1,3,0.35,0.3,3.5,0.3
1,57,10,38,2,9,,0.0001,1,3,0.35,0.3,3.5,0.3
1,61,10,18,15,230,,0.060769362,1,3,0.35,0.3,3.5,0.3
1,61,12,18,13,47,,0.105121898,1,3,0.35,0.3,3.5,0.3
1,61,11,18,14,280,,0.046276097,1,3,0.35,0.3,3.5,0.3
1,61,13,18,10,145,,0.089484135,1,3,0.35,0.3,3.5,0.3
1,61,12,18,11,265,,0.0001,1,3,0.35,0.3,3.5,0.3
1,62,13,18,9,212,,0.061272573,1,3,0.35,0.3,3.5,0.3
1,62,14,18,8,242,,0.024757723,1,3,0.35,0.3,3.5,0.3
1,62,16,18,6,9,,0.0001,1,3,0.35,0.3,3.5,0.3
