hru_area,hru_aspect,hru_elev,hru_lat,hru_slope,hru_segment,hru_strmseg_down_id
776.840362,285.398802280968,4408.76961800415,-11.99925871,0.320860894530381,1,-999
574.176353,331.288747123007,4579.16105769231,-11.9739749,0.279234568327621,2,-999
157.116366,207.143221200768,5075.26647144949,-11.89393458,0.625895990601483,3,-999
280.187018,237.187830762787,4911.97126436782,-11.88642799,0.431432311629956,4,-999
1521.935398,194.991713901613,4289.37046553809,-11.97646358,0.539637354340381,5,-999
417.750103,214.957905586817,4820.98292951542,-11.89032005,0.484905096805872,6,-999
220.146943,185.519051819634,5148.62591431557,-11.91033214,0.655957700628223,7,-999
1543.559026,198.814861597677,4438.94500745156,-11.94895345,0.482264077409772,8,-999
405.09798,159.680625531371,4866.66269165247,-11.88392377,0.33337519202045,9,-999
365.301302,141.325691050711,4718.84571788413,-11.89309545,0.320990737911164,10,-999
165.167717,274.475454324695,5072.7938718663,-11.90088254,0.623539350029278,11,-999
236.939761,308.679897162848,5109.59611650485,-11.90199277,0.594224958530021,12,-999
401.187324,257.607541050311,5053.00458715596,-11.92228263,0.588798383643868,13,-999
2446.460543,235.462861876159,4654.92270803949,-11.93811974,0.385915303292242,14,-999
52.218763,197.395486873543,4801.39207048458,-11.89893588,0.53129818999426,15,-999
298.820145,184.096330757126,3967.23171670516,-11.99423021,0.376815466963047,16,-999
410.388868,295.421995409699,4787.33520179372,-11.90698331,0.504439201118527,17,-999
1331.233396,210.845059945959,3987.2477967859,-12.00367918,0.515889954052354,18,-999
1089.922901,313.312857079617,4464.85352469396,-11.97285958,0.460034649220498,19,-999
453.636125,309.138227818074,4258.14503042596,-12.00481461,0.30675714748154,20,-999
601.09087,339.329408224217,4306.14121699196,-12.0217472,0.376475921060913,21,-999
1658.808366,240.010911432102,4454.82568298433,-12.00759886,0.332322128486268,22,-999
38.646485,184.52982921668,4527.05952380952,-11.90198885,0.18517733751131,23,-999
84.884245,340.188023551758,4281.92682926829,-11.97202206,0.575090441822521,24,-999
3163.720907,195.822054199533,4453.84381589471,-11.96449971,0.306528759571759,25,-999
1762.325738,202.906883004039,4451.63385980942,-11.96256396,0.326623143377873,26,-999
3552.026069,119.610164800446,4603.66886859659,-11.91782804,0.34034990113785,27,-999
284.787791,69.1761686836044,4265.75767366721,-12.00869636,0.290087121236401,28,-999
308.711805,251.403975708555,4110.90909090909,-11.98952481,0.454127657496483,29,-999
554.623072,327.193240632757,4416.43674823725,-12.02953696,0.231758649041277,30,-999
635.59666,88.9707631780242,4086.95584509591,-11.99173695,0.341973524115787,31,-999
478.940372,217.224263748694,3803.02833813641,-11.99922377,0.568306510231129,32,-999
1022.981668,283.953849209785,4074.93388801439,-11.99674018,0.529351037169893,33,-999
71.081928,197.11376390454,3909.03236245955,-11.99063814,0.430082097926861,34,-999
1210.923206,98.3386750786294,4200.97378419453,-11.97922359,0.22471017288175,35,-999
2237.355453,226.268840561647,4491.20923298376,-11.98981219,0.324704027748294,36,-999
1840.768901,13.7168747868331,4438.15708572857,-12.03732397,0.194962308533658,37,-999
601.09087,155.979344495486,4178.64332185228,-11.98421678,0.342825738644713,38,-999
1144.902127,215.383724784612,4541.44042595941,-11.95618482,0.358534326298383,39,-999
158.03652,158.358536045159,3893.94905385735,-12.00396293,0.611851669648009,40,-999
1791.080563,8.60354908880636,4405.26586180324,-12.01813928,0.293282871655622,41,-999
1597.848137,349.040258626589,4472.824071408,-12.02732604,0.325221647440799,42,-999
681.374342,4.88557388073709,4103.6049966239,-12.00202982,0.467895366076649,43,-999
1195.740659,192.359964462182,4603.88668718738,-11.95952285,0.310424941419916,44,-999
60.270114,191.034042232982,3917.70992366412,-11.99035829,0.241469491571757,45,-999
