 "GAGE No.    2:  K,I,J Coord. =     1,   23,   50;  STREAM SEGMENT =    14;  REACH =     2 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   4.7380142E+03   3.1390902E+01
     2.0000000E+00   4.7380220E+03   6.7782385E+02
     3.0000000E+00   4.7380220E+03   6.5203650E+02
     4.0000000E+00   4.7380225E+03   6.4545740E+02
     5.0000000E+00   4.7380264E+03   8.7559277E+02
     6.0000000E+00   4.7380254E+03   8.0746570E+02
     7.0000000E+00   4.7380288E+03   9.7957587E+02
     8.0000000E+00   4.7380786E+03   5.5440244E+03
     9.0000000E+00   4.7380874E+03   6.6965054E+03
     1.0000000E+01   4.7380669E+03   4.2211963E+03
     1.1000000E+01   4.7380615E+03   3.6705027E+03
     1.2000000E+01   4.7380571E+03   3.2041682E+03
     1.3000000E+01   4.7380581E+03   3.2931638E+03
     1.4000000E+01   4.7382451E+03   3.8382457E+04
     1.5000000E+01   4.7381616E+03   1.9049211E+04
     1.6000000E+01   4.7381787E+03   2.2478891E+04
     1.7000000E+01   4.7384111E+03   9.0621141E+04
     1.8000000E+01   4.7384111E+03   9.1074477E+04
     1.9000000E+01   4.7382388E+03   3.7300934E+04
     2.0000000E+01   4.7381992E+03   2.7360604E+04
     2.1000000E+01   4.7381973E+03   2.6840814E+04
     2.2000000E+01   4.7384824E+03   1.1895806E+05
     2.3000000E+01   4.7382441E+03   3.8835457E+04
     2.4000000E+01   4.7381763E+03   2.2384213E+04
     2.5000000E+01   4.7381895E+03   2.5136844E+04
     2.6000000E+01   4.7381465E+03   1.6312350E+04
     2.7000000E+01   4.7381357E+03   1.4282016E+04
     2.8000000E+01   4.7381973E+03   2.6752254E+04
     2.9000000E+01   4.7381621E+03   1.9180943E+04
     3.0000000E+01   4.7381528E+03   1.7322996E+04
     3.1000000E+01   4.7381240E+03   1.2198457E+04
     3.2000000E+01   4.7381099E+03   9.8838516E+03
     3.3000000E+01   4.7381924E+03   2.5477254E+04
     3.4000000E+01   4.7381406E+03   1.5038367E+04
     3.5000000E+01   4.7382729E+03   4.5996867E+04
     3.6000000E+01   4.7382280E+03   3.4038152E+04
