 "GAGE No.    5:  K,I,J Coord. =     1,   48,   39;  STREAM SEGMENT =     5;  REACH =     5 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   4.0870254E+03   8.4948555E+03
     2.0000000E+00   4.0870420E+03   1.9521355E+04
     3.0000000E+00   4.0870378E+03   1.6337605E+04
     4.0000000E+00   4.0870354E+03   1.4679361E+04
     5.0000000E+00   4.0870410E+03   1.8723879E+04
     6.0000000E+00   4.0870486E+03   2.4871668E+04
     7.0000000E+00   4.0870486E+03   2.4859002E+04
     8.0000000E+00   4.0870771E+03   5.3656680E+04
     9.0000000E+00   4.0870933E+03   7.3560711E+04
     1.0000000E+01   4.0870740E+03   4.9932488E+04
     1.1000000E+01   4.0870693E+03   4.4810340E+04
     1.2000000E+01   4.0870654E+03   4.0838406E+04
     1.3000000E+01   4.0870649E+03   4.0240906E+04
     1.4000000E+01   4.0872900E+03   4.8646644E+05
     1.5000000E+01   4.0871833E+03   2.2650722E+05
     1.6000000E+01   4.0872041E+03   2.7103956E+05
     1.7000000E+01   4.0874446E+03   9.9193956E+05
     1.8000000E+01   4.0874739E+03   1.1036559E+06
     1.9000000E+01   4.0873376E+03   6.2790550E+05
     2.0000000E+01   4.0872722E+03   4.3849891E+05
     2.1000000E+01   4.0872632E+03   4.1466553E+05
     2.2000000E+01   4.0875535E+03   1.4289860E+06
     2.3000000E+01   4.0873584E+03   6.9321794E+05
     2.4000000E+01   4.0872571E+03   3.9879303E+05
     2.5000000E+01   4.0872605E+03   4.0753991E+05
     2.6000000E+01   4.0872053E+03   2.7422350E+05
     2.7000000E+01   4.0871824E+03   2.2490747E+05
     2.8000000E+01   4.0872559E+03   3.9520434E+05
     2.9000000E+01   4.0872097E+03   2.8404412E+05
     3.0000000E+01   4.0871951E+03   2.5192905E+05
     3.1000000E+01   4.0871631E+03   1.8697970E+05
     3.2000000E+01   4.0871455E+03   1.5467927E+05
     3.3000000E+01   4.0872319E+03   3.3542297E+05
     3.4000000E+01   4.0871733E+03   2.0687634E+05
     3.5000000E+01   4.0873354E+03   6.2026806E+05
     3.6000000E+01   4.0872852E+03   4.7381072E+05
     3.7000000E+01   4.0872144E+03   2.9435178E+05
     3.8000000E+01   4.0871836E+03   2.2738714E+05
     3.9000000E+01   4.0871609E+03   1.8249355E+05
     4.0000000E+01   4.0871448E+03   1.5300816E+05
     4.1000000E+01   4.0871323E+03   1.3181205E+05
     4.2000000E+01   4.0871211E+03   1.1370377E+05
