 "GAGE No.    8:  K,I,J Coord. =     1,   61,    6;  STREAM SEGMENT =    32;  REACH =     5 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   3.5290588E+03   1.9506205E+04
     2.0000000E+00   3.5291167E+03   6.0563086E+04
     3.0000000E+00   3.5291013E+03   4.7887852E+04
     4.0000000E+00   3.5290916E+03   4.0584902E+04
     5.0000000E+00   3.5291169E+03   6.0811898E+04
     6.0000000E+00   3.5291155E+03   5.9592195E+04
     7.0000000E+00   3.5291177E+03   6.1546277E+04
     8.0000000E+00   3.5291755E+03   1.1954320E+05
     9.0000000E+00   3.5292124E+03   1.6431233E+05
     1.0000000E+01   3.5291716E+03   1.1525873E+05
     1.1000000E+01   3.5291616E+03   1.0435072E+05
     1.2000000E+01   3.5291533E+03   9.5564688E+04
     1.3000000E+01   3.5291567E+03   9.9136344E+04
     1.4000000E+01   3.5296584E+03   1.0824000E+06
     1.5000000E+01   3.5294163E+03   5.0413456E+05
     1.6000000E+01   3.5294666E+03   6.0973875E+05
     1.7000000E+01   3.5300122E+03   2.2177185E+06
     1.8000000E+01   3.5301047E+03   2.5657790E+06
     1.9000000E+01   3.5298110E+03   1.5332400E+06
     2.0000000E+01   3.5296541E+03   1.0719004E+06
     2.1000000E+01   3.5296292E+03   1.0046824E+06
     2.2000000E+01   3.5302847E+03   3.3007940E+06
     2.3000000E+01   3.5298679E+03   1.7172785E+06
     2.4000000E+01   3.5296245E+03   9.9266256E+05
     2.5000000E+01   3.5296318E+03   1.0120696E+06
     2.6000000E+01   3.5294939E+03   6.7127850E+05
     2.7000000E+01   3.5294348E+03   5.4329956E+05
     2.8000000E+01   3.5296028E+03   9.3523794E+05
     2.9000000E+01   3.5294949E+03   6.7356431E+05
     3.0000000E+01   3.5294600E+03   5.9649281E+05
     3.1000000E+01   3.5293894E+03   4.5200497E+05
     3.2000000E+01   3.5293477E+03   3.7425338E+05
     3.3000000E+01   3.5295376E+03   7.7295006E+05
     3.4000000E+01   3.5294062E+03   4.8484116E+05
     3.5000000E+01   3.5297812E+03   1.4403442E+06
     3.6000000E+01   3.5296697E+03   1.1144044E+06
     3.7000000E+01   3.5295061E+03   6.9897869E+05
     3.8000000E+01   3.5294336E+03   5.4067881E+05
     3.9000000E+01   3.5293804E+03   4.3444391E+05
     4.0000000E+01   3.5293411E+03   3.6225184E+05
     4.1000000E+01   3.5293159E+03   3.1893775E+05
     4.2000000E+01   3.5293018E+03   2.9547762E+05
     4.3000000E+01   3.5292717E+03   2.4813681E+05
     4.4000000E+01   3.5292551E+03   2.2357181E+05
     4.5000000E+01   3.5292419E+03   2.0465339E+05
     4.6000000E+01   3.5292629E+03   2.3492669E+05
     4.7000000E+01   3.5293760E+03   4.2588047E+05
     4.8000000E+01   3.5293357E+03   3.5270709E+05
     4.9000000E+01   3.5293604E+03   3.9699438E+05
     5.0000000E+01   3.5293445E+03   3.6808134E+05
     5.1000000E+01   3.5292930E+03   2.8105259E+05
     5.2000000E+01   3.5292686E+03   2.4315325E+05
