 "GAGE No.    3:  K,I,J Coord. =     1,   46,   41;  STREAM SEGMENT =     8;  REACH =    23 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   4.1050254E+03   6.6254814E+03
     2.0000000E+00   4.1050396E+03   1.3611422E+04
     3.0000000E+00   4.1050371E+03   1.2219087E+04
     4.0000000E+00   4.1050361E+03   1.1552119E+04
     5.0000000E+00   4.1050410E+03   1.4395128E+04
     6.0000000E+00   4.1050513E+03   2.1053080E+04
     7.0000000E+00   4.1050498E+03   1.9769066E+04
     8.0000000E+00   4.1050747E+03   3.8892766E+04
     9.0000000E+00   4.1050908E+03   5.3629508E+04
     1.0000000E+01   4.1050723E+03   3.6931371E+04
     1.1000000E+01   4.1050679E+03   3.3392414E+04
     1.2000000E+01   4.1050649E+03   3.0678973E+04
     1.3000000E+01   4.1050645E+03   3.0572902E+04
     1.4000000E+01   4.1052812E+03   3.5369512E+05
     1.5000000E+01   4.1051787E+03   1.6572077E+05
     1.6000000E+01   4.1051992E+03   1.9858862E+05
     1.7000000E+01   4.1054390E+03   7.4181962E+05
     1.8000000E+01   4.1054634E+03   8.1186094E+05
     1.9000000E+01   4.1053232E+03   4.4616503E+05
     2.0000000E+01   4.1052622E+03   3.1441959E+05
     2.1000000E+01   4.1052539E+03   2.9867716E+05
     2.2000000E+01   4.1055420E+03   1.0551195E+06
     2.3000000E+01   4.1053433E+03   4.9254584E+05
     2.4000000E+01   4.1052476E+03   2.8589241E+05
     2.5000000E+01   4.1052520E+03   2.9480097E+05
     2.6000000E+01   4.1051997E+03   2.0035152E+05
     2.7000000E+01   4.1051792E+03   1.6678186E+05
     2.8000000E+01   4.1052485E+03   2.8827922E+05
     2.9000000E+01   4.1052051E+03   2.0918309E+05
     3.0000000E+01   4.1051914E+03   1.8646747E+05
     3.1000000E+01   4.1051606E+03   1.3907989E+05
     3.2000000E+01   4.1051436E+03   1.1579578E+05
     3.3000000E+01   4.1052271E+03   2.4790938E+05
     3.4000000E+01   4.1051709E+03   1.5446723E+05
     3.5000000E+01   4.1053267E+03   4.5376728E+05
     3.6000000E+01   4.1052778E+03   3.4633622E+05
     3.7000000E+01   4.1052095E+03   2.1641281E+05
     3.8000000E+01   4.1051802E+03   1.6846202E+05
     3.9000000E+01   4.1051582E+03   1.3603281E+05
     4.0000000E+01   4.1051436E+03   1.1524465E+05
     4.1000000E+01   4.1051313E+03   9.9753086E+04
     4.2000000E+01   4.1051206E+03   8.6208805E+04
     4.3000000E+01   4.1051118E+03   7.6402977E+04
     4.4000000E+01   4.1051045E+03   6.8323898E+04
     4.5000000E+01   4.1050991E+03   6.2177922E+04
     4.6000000E+01   4.1051128E+03   7.7429562E+04
     4.7000000E+01   4.1051655E+03   1.4587922E+05
     4.8000000E+01   4.1051421E+03   1.1323273E+05
     4.9000000E+01   4.1051538E+03   1.2932569E+05
     5.0000000E+01   4.1051504E+03   1.2477988E+05
     5.1000000E+01   4.1051265E+03   9.3737398E+04
     5.2000000E+01   4.1051162E+03   8.0921852E+04
     5.3000000E+01   4.1051367E+03   1.0646750E+05
