 "GAGE No.    5:  K,I,J Coord. =     1,   48,   39;  STREAM SEGMENT =     5;  REACH =     5 "
     "DATA: Time           Stage            Flow"
     9.8000000E+01   4.0871719E+03   1.2228444E+05
     9.9000000E+01   4.0872288E+03   1.9695548E+05
     1.0000000E+02   4.0871819E+03   1.3438020E+05
     1.0100000E+02   4.0871697E+03   1.1957461E+05
     1.0200000E+02   4.0871580E+03   1.0641532E+05
     1.0300000E+02   4.0871504E+03   9.8016992E+04
     1.0400000E+02   4.0871465E+03   9.3761688E+04
     1.0500000E+02   4.0871409E+03   8.7821469E+04
     1.0600000E+02   4.0871372E+03   8.4145438E+04
     1.0700000E+02   4.0871318E+03   7.8552195E+04
     1.0800000E+02   4.0871294E+03   7.6309758E+04
     1.0900000E+02   4.0871338E+03   8.0541992E+04
     1.1000000E+02   4.0871340E+03   8.0894812E+04
     1.1100000E+02   4.0871853E+03   1.3851828E+05
     1.1200000E+02   4.0872192E+03   1.8338948E+05
     1.1300000E+02   4.0871785E+03   1.3014455E+05
     1.1400000E+02   4.0871653E+03   1.1450298E+05
     1.1500000E+02   4.0871570E+03   1.0521845E+05
     1.1600000E+02   4.0871511E+03   9.8725742E+04
     1.1700000E+02   4.0871565E+03   1.0447824E+05
     1.1800000E+02   4.0871592E+03   1.0757052E+05
     1.1900000E+02   4.0872085E+03   1.6831964E+05
     1.2000000E+02   4.0871509E+03   9.8430734E+04
     1.2100000E+02   4.0871482E+03   9.5412250E+04
     1.2200000E+02   4.0871465E+03   9.3713250E+04
     1.2300000E+02   4.0871436E+03   9.0692180E+04
     1.2400000E+02   4.0871384E+03   8.5242227E+04
     1.2500000E+02   4.0871372E+03   8.3979391E+04
     1.2600000E+02   4.0871370E+03   8.3785133E+04
     1.2700000E+02   4.0871392E+03   8.6091531E+04
     1.2800000E+02   4.0871467E+03   9.3881477E+04
     1.2900000E+02   4.0871433E+03   9.0343875E+04
     1.3000000E+02   4.0871428E+03   8.9866672E+04
     1.3100000E+02   4.0871379E+03   8.4760711E+04
     1.3200000E+02   4.0871357E+03   8.2546180E+04
     1.3300000E+02   4.0871357E+03   8.2484578E+04
     1.3400000E+02   4.0871377E+03   8.4546617E+04
     1.3500000E+02   4.0871365E+03   8.3303930E+04
     1.3600000E+02   4.0871658E+03   1.1496453E+05
     1.3700000E+02   4.0871807E+03   1.3260578E+05
     1.3800000E+02   4.0871677E+03   1.1723823E+05
     1.3900000E+02   4.0871958E+03   1.5171808E+05
     1.4000000E+02   4.0871665E+03   1.1570173E+05
     1.4100000E+02   4.0871682E+03   1.1785241E+05
     1.4200000E+02   4.0871995E+03   1.5631991E+05
     1.4300000E+02   4.0871780E+03   1.2928625E+05
     1.4400000E+02   4.0872222E+03   1.8724844E+05
     1.4500000E+02   4.0871709E+03   1.2089014E+05
