 "GAGE No.    3:  K,I,J Coord. =     1,   46,   41;  STREAM SEGMENT =     8;  REACH =    23 "
     "DATA: Time           Stage            Flow"
     1.1200000E+02   4.1052275E+03   1.4875256E+05
     1.1300000E+02   4.1051875E+03   1.0776495E+05
     1.1400000E+02   4.1051738E+03   9.5107594E+04
     1.1500000E+02   4.1051660E+03   8.8319352E+04
     1.1600000E+02   4.1051606E+03   8.3542758E+04
     1.1700000E+02   4.1051665E+03   8.8692211E+04
     1.1800000E+02   4.1051694E+03   9.1090344E+04
     1.1900000E+02   4.1052100E+03   1.3042123E+05
     1.2000000E+02   4.1051602E+03   8.2953930E+04
     1.2100000E+02   4.1051577E+03   8.0949438E+04
     1.2200000E+02   4.1051567E+03   8.0200305E+04
     1.2300000E+02   4.1051543E+03   7.7955875E+04
     1.2400000E+02   4.1051484E+03   7.3108625E+04
     1.2500000E+02   4.1051475E+03   7.2493680E+04
     1.2600000E+02   4.1051479E+03   7.2895891E+04
     1.2700000E+02   4.1051514E+03   7.5670312E+04
     1.2800000E+02   4.1051606E+03   8.3212023E+04
     1.2900000E+02   4.1051567E+03   7.9961719E+04
     1.3000000E+02   4.1051562E+03   7.9631602E+04
     1.3100000E+02   4.1051504E+03   7.4792656E+04
     1.3200000E+02   4.1051479E+03   7.2580516E+04
     1.3300000E+02   4.1051479E+03   7.2835555E+04
     1.3400000E+02   4.1051509E+03   7.5253453E+04
     1.3500000E+02   4.1051489E+03   7.3532031E+04
     1.3600000E+02   4.1051636E+03   8.5791781E+04
     1.3700000E+02   4.1051792E+03   9.9980406E+04
     1.3800000E+02   4.1051836E+03   1.0432064E+05
     1.3900000E+02   4.1052192E+03   1.4000316E+05
     1.4000000E+02   4.1051519E+03   7.6153195E+04
     1.4100000E+02   4.1051831E+03   1.0375166E+05
     1.4200000E+02   4.1052031E+03   1.2333002E+05
     1.4300000E+02   4.1051948E+03   1.1551904E+05
     1.4400000E+02   4.1052246E+03   1.4563692E+05
     1.4500000E+02   4.1051548E+03   7.8454562E+04
     1.4600000E+02   4.1051777E+03   9.8849742E+04
     1.4700000E+02   4.1051494E+03   7.4128273E+04
     1.4800000E+02   4.1051460E+03   7.1245867E+04
     1.4900000E+02   4.1051436E+03   6.9233258E+04
     1.5000000E+02   4.1051577E+03   8.0786164E+04
     1.5100000E+02   4.1051553E+03   7.8783547E+04
     1.5200000E+02   4.1051436E+03   6.9083344E+04
     1.5300000E+02   4.1051382E+03   6.5133492E+04
     1.5400000E+02   4.1051567E+03   8.0065562E+04
     1.5500000E+02   4.1051362E+03   6.3338027E+04
     1.5600000E+02   4.1051338E+03   6.1419680E+04
     1.5700000E+02   4.1051289E+03   5.7853402E+04
     1.5800000E+02   4.1051406E+03   6.6818734E+04
     1.5900000E+02   4.1052295E+03   1.5081023E+05
     1.6000000E+02   4.1051323E+03   6.0330668E+04
