 "GAGE No.    8:  K,I,J Coord. =     1,   61,    6;  STREAM SEGMENT =    32;  REACH =     5 "
     "DATA: Time           Stage            Flow"
     9.8000000E+01   3.5293982E+03   2.8139962E+05
     9.9000000E+01   3.5295112E+03   4.2659806E+05
     1.0000000E+02   3.5294016E+03   2.8553134E+05
     1.0100000E+02   3.5294004E+03   2.8387288E+05
     1.0200000E+02   3.5293652E+03   2.4379242E+05
     1.0300000E+02   3.5293345E+03   2.1044403E+05
     1.0400000E+02   3.5293215E+03   1.9728473E+05
     1.0500000E+02   3.5293545E+03   2.3176716E+05
     1.0600000E+02   3.5293032E+03   1.7873452E+05
     1.0700000E+02   3.5292913E+03   1.6737705E+05
     1.0800000E+02   3.5292832E+03   1.5973845E+05
     1.0900000E+02   3.5293220E+03   1.9748717E+05
     1.1000000E+02   3.5292854E+03   1.6160081E+05
     1.1100000E+02   3.5294031E+03   2.8711225E+05
     1.1200000E+02   3.5294531E+03   3.4885147E+05
     1.1300000E+02   3.5293677E+03   2.4640391E+05
     1.1400000E+02   3.5293408E+03   2.1721919E+05
     1.1500000E+02   3.5293213E+03   1.9695752E+05
     1.1600000E+02   3.5293071E+03   1.8263273E+05
     1.1700000E+02   3.5293135E+03   1.8896834E+05
     1.1800000E+02   3.5293181E+03   1.9357817E+05
     1.1900000E+02   3.5293625E+03   2.4058153E+05
     1.2000000E+02   3.5292964E+03   1.7200547E+05
     1.2100000E+02   3.5292898E+03   1.6571406E+05
     1.2200000E+02   3.5292844E+03   1.6063970E+05
     1.2300000E+02   3.5292781E+03   1.5477430E+05
     1.2400000E+02   3.5292698E+03   1.4709475E+05
     1.2500000E+02   3.5292878E+03   1.6391614E+05
     1.2600000E+02   3.5292649E+03   1.4265053E+05
     1.2700000E+02   3.5292646E+03   1.4263970E+05
     1.2800000E+02   3.5292734E+03   1.5048233E+05
     1.2900000E+02   3.5292676E+03   1.4528191E+05
     1.3000000E+02   3.5292661E+03   1.4379514E+05
     1.3100000E+02   3.5292593E+03   1.3767491E+05
     1.3200000E+02   3.5292566E+03   1.3535083E+05
     1.3300000E+02   3.5292549E+03   1.3383319E+05
     1.3400000E+02   3.5292639E+03   1.4192667E+05
     1.3500000E+02   3.5292673E+03   1.4490161E+05
     1.3600000E+02   3.5292917E+03   1.6748395E+05
     1.3700000E+02   3.5293140E+03   1.8923245E+05
     1.3800000E+02   3.5293269E+03   2.0251034E+05
     1.3900000E+02   3.5293547E+03   2.3195472E+05
     1.4000000E+02   3.5293945E+03   2.7676966E+05
     1.4100000E+02   3.5293394E+03   2.1559253E+05
     1.4200000E+02   3.5294246E+03   3.1286809E+05
     1.4300000E+02   3.5293672E+03   2.4576097E+05
     1.4400000E+02   3.5294087E+03   2.9348512E+05
     1.4500000E+02   3.5293591E+03   2.3684469E+05
     1.4600000E+02   3.5293721E+03   2.5129281E+05
     1.4700000E+02   3.5293616E+03   2.3943250E+05
     1.4800000E+02   3.5293262E+03   2.0172459E+05
     1.4900000E+02   3.5292974E+03   1.7305167E+05
     1.5000000E+02   3.5292839E+03   1.6016067E+05
     1.5100000E+02   3.5292983E+03   1.7404245E+05
     1.5200000E+02   3.5293159E+03   1.9121041E+05
     1.5300000E+02   3.5292744E+03   1.5142841E+05
     1.5400000E+02   3.5293376E+03   2.1365041E+05
     1.5500000E+02   3.5292605E+03   1.3880011E+05
     1.5600000E+02   3.5292542E+03   1.3314803E+05
     1.5700000E+02   3.5292703E+03   1.4766305E+05
     1.5800000E+02   3.5292812E+03   1.5768762E+05
     1.5900000E+02   3.5293579E+03   2.3530516E+05
     1.6000000E+02   3.5292485E+03   1.2844661E+05
     1.6100000E+02   3.5292458E+03   1.2615829E+05
     1.6200000E+02   3.5292637E+03   1.4156361E+05
     1.6300000E+02   3.5292400E+03   1.2114581E+05
     1.6400000E+02   3.5293037E+03   1.7909566E+05
     1.6500000E+02   3.5292520E+03   1.3137834E+05
     1.6600000E+02   3.5292839E+03   1.6018127E+05
     1.6700000E+02   3.5292524E+03   1.3170550E+05
     1.6800000E+02   3.5292822E+03   1.5850994E+05
     1.6900000E+02   3.5292449E+03   1.2532377E+05
     1.7000000E+02   3.5292400E+03   1.2105531E+05
     1.7100000E+02   3.5292644E+03   1.4235675E+05
     1.7200000E+02   3.5292415E+03   1.2239637E+05
     1.7300000E+02   3.5292476E+03   1.2751668E+05
     1.7400000E+02   3.5292422E+03   1.2287031E+05
     1.7500000E+02   3.5292561E+03   1.3489380E+05
     1.7600000E+02   3.5292297E+03   1.1271400E+05
     1.7700000E+02   3.5292441E+03   1.2452388E+05
     1.7800000E+02   3.5292539E+03   1.3296869E+05
     1.7900000E+02   3.5292202E+03   1.0500368E+05
     1.8000000E+02   3.5292175E+03   1.0287341E+05
     1.8100000E+02   3.5292249E+03   1.0861620E+05
     1.8200000E+02   3.5292175E+03   1.0285119E+05
     1.8300000E+02   3.5292195E+03   1.0429874E+05
     1.8400000E+02   3.5292268E+03   1.1022087E+05
     1.8500000E+02   3.5292180E+03   1.0327489E+05
     1.8600000E+02   3.5292476E+03   1.2739002E+05
     1.8700000E+02   3.5292363E+03   1.1804217E+05
     1.8800000E+02   3.5292451E+03   1.2549280E+05
     1.8900000E+02   3.5292476E+03   1.2752775E+05
     1.9000000E+02   3.5292297E+03   1.1262052E+05
     1.9100000E+02   3.5292319E+03   1.1431064E+05
